[Mon Jan 17 00:52:42.942527 2022] [:error] [pid 27488:tid 1316] [client ::1:52907] PHP Notice:  Undefined variable: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 24, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 00:52:42.957585 2022] [:error] [pid 27488:tid 1316] [client ::1:52907] PHP Notice:  Undefined variable: foto in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 43, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 00:53:20.747811 2022] [:error] [pid 27488:tid 1316] [client ::1:52916] PHP Notice:  Undefined variable: foto in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 45
[Mon Jan 17 00:53:29.532842 2022] [:error] [pid 27488:tid 1316] [client ::1:52919] PHP Notice:  Undefined variable: foto in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 45
[Mon Jan 17 00:56:26.174188 2022] [:error] [pid 27488:tid 1316] [client ::1:53045] PHP Catchable fatal error:  Object of class mysqli_result could not be converted to string in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 39
[Mon Jan 17 00:57:07.782110 2022] [:error] [pid 27488:tid 1316] [client ::1:53080] PHP Warning:  mysqli_escape_string() expects exactly 2 parameters, 1 given in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 36
[Mon Jan 17 00:58:14.799213 2022] [:error] [pid 27488:tid 1316] [client ::1:53132] PHP Catchable fatal error:  Object of class mysqli_result could not be converted to string in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 38
[Mon Jan 17 00:59:38.091816 2022] [:error] [pid 27488:tid 1316] [client ::1:57325] PHP Notice:  Array to string conversion in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 38
[Mon Jan 17 00:59:38.091816 2022] [:error] [pid 27488:tid 1316] [client ::1:57325] PHP Notice:  Array to string conversion in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 47
[Mon Jan 17 00:59:55.844818 2022] [:error] [pid 27488:tid 1316] [client ::1:57352] PHP Notice:  Array to string conversion in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 38
